cnes_codigo,cod_cep,cep_limpo,codufmun,municipio_codigo_6,uf_codigo,tp_unid,tpgestao,esfera_a,nat_jur,competen,cep_valido,municipio_valido,uf_valida,spatial_resolution_available,spatial_resolution_target,fallback_rule,cnes_competencia,source_system,lookup_scope,latitude,longitude,spatial_resolution_final,spatial_source,geocode_quality,municipio_nome,uf_sigla,uf_nome
0679550,26285060,26285060,330350,330350,33,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-22.7509504,-43.4568404,cep,nominatim_cep,aproximado_por_cep,Nova Iguaçu,RJ,Rio de Janeiro
0690899,77600000,77600000,171610,171610,17,50,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-10.1773646,-48.8858139,cep,nominatim_cep,aproximado_por_cep,Paraíso do Tocantins,TO,Tocantins
0787191,65080805,65080805,211130,211130,21,50,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-2.5590492,-44.3090505,cep,nominatim_cep,aproximado_por_cep,São Luís,MA,Maranhão
0789585,17213700,17213700,352530,352530,35,05,M,M,2143,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Jaú,SP,São Paulo
0797146,70390135,70390135,530010,530010,53,05,E,E,2054,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Brasília,DF,Distrito Federal
0804371,09030010,09030010,354780,354780,35,39,M,M,2046,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.6738514,-46.5246468,cep,nominatim_cep,aproximado_por_cep,Santo André,SP,São Paulo
0806285,57480000,57480000,270240,270240,27,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-9.3764011,-37.9992154,cep,nominatim_cep,aproximado_por_cep,Delmiro Gouveia,AL,Alagoas
0812226,08472170,08472170,355030,355030,35,73,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0835811,76987318,76987318,110030,110030,11,73,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.7379,-60.1095291,cep,nominatim_cep,aproximado_por_cep,Vilhena,RO,Rondônia
0852074,02991000,02991000,355030,355030,35,73,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4504453,-46.735445,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0873268,04330060,04330060,355030,355030,35,73,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0889490,50070160,50070160,261160,261160,26,07,M,M,2054,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.041898,-34.880846,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0901725,78452006,78452006,510622,510622,51,05,D,D,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Nova Mutum,MT,Mato Grosso
0902179,57072081,57072081,270430,270430,27,73,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Maceió,AL,Alagoas
0904597,66060220,66060220,150140,150140,15,05,M,M,2143,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-1.4465212,-48.4708865,cep,nominatim_cep,aproximado_por_cep,Belém,PA,Pará
0919373,28905320,28905320,330070,330070,33,05,E,E,1147,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-22.8833356,-42.0295594,cep,nominatim_cep,aproximado_por_cep,Cabo Frio,RJ,Rio de Janeiro
0930075,59611320,59611320,240800,240800,24,05,M,M,2054,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-5.179969,-37.356789,cep,nominatim_cep,aproximado_por_cep,Mossoró,RN,Rio Grande do Norte
0932280,21051360,21051360,330455,330455,33,73,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4647655,-46.8584264,cep,nominatim_cep,aproximado_por_cep,Rio de Janeiro,RJ,Rio de Janeiro
0935662,83860000,83860000,411910,411910,41,05,D,D,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-26.1021004,-49.4314565,cep,nominatim_cep,aproximado_por_cep,Piên,PR,Paraná
0937495,57022063,57022063,270430,270430,27,73,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Maceió,AL,Alagoas
0945595,71880140,71880140,530010,530010,53,73,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Brasília,DF,Distrito Federal
0949035,04538906,04538906,355030,355030,35,04,M,M,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0955736,04146050,04146050,355030,355030,35,05,M,M,2062,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.6182633,-46.6326698,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0958433,01504000,01504000,355030,355030,35,73,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.5720127,-46.6399605,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0962589,13560181,13560181,354890,354890,35,05,M,M,2143,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-22.0157774,-47.8847371,cep,nominatim_cep,aproximado_por_cep,São Carlos,SP,São Paulo
0965324,74860210,74860210,520870,520870,52,07,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Goiânia,GO,Goiás
0969877,73403330,73403330,530010,530010,53,73,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Brasília,DF,Distrito Federal
0980927,25075075,25075075,330170,330170,33,36,M,M,2046,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Duque de Caxias,RJ,Rio de Janeiro
0997730,04845000,04845000,355030,355030,35,73,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
